acidity,sulfur_dioxide,density,pH,alcohol,color,quality
6.2,32,0.99402,3.54,11.3,red,5
6.1,27,0.99362,3.57,11.9,red,5
6.2,98,0.99578,3.33,9.8,red,5
6.7,34,0.99484,3.29,11.6,red,7
7.2,48,0.99494,3.3,11.5,red,6
7.5,60,0.99492,3.34,11.4,red,6
5.8,28,0.99483,3.55,10.9,red,6
7.2,102,0.99414,3.27,12.8,red,6
6.6,79,0.9977,3.29,9.2,red,5
6.3,35,0.99314,3.32,11.6,red,6
5.4,26,0.99402,3.67,11.6,red,6
6.3,40,0.99574,3.42,11,red,6
6.8,38,0.99651,3.42,9.5,red,6
6.2,44,0.9949,3.45,10.5,red,5
5.9,51,0.99512,3.52,11.2,red,6
6.3,40,0.99574,3.42,11,red,6
5.9,44,0.99547,3.57,10.2,red,5
6,42,0.99549,3.39,11,red,6
7,170,1.001,3,8.8,white,6
6.3,132,0.994,3.3,9.5,white,6
8.1,97,0.9951,3.26,10.1,white,6
7.2,186,0.9956,3.19,9.9,white,6
7.2,186,0.9956,3.19,9.9,white,6
8.1,97,0.9951,3.26,10.1,white,6
6.2,136,0.9949,3.18,9.6,white,6
7,170,1.001,3,8.8,white,6
6.3,132,0.994,3.3,9.5,white,6
8.1,129,0.9938,3.22,11,white,6
8.1,63,0.9908,2.99,12,white,5
8.6,109,0.9947,3.14,9.7,white,5
7.9,75,0.992,3.18,10.8,white,5
6.6,143,0.9912,3.54,12.4,white,7
8.3,172,1.0002,2.98,9.7,white,5
6.6,112,0.9914,3.25,11.4,white,7
6.3,99,0.9928,3.24,9.6,white,6
6.2,75,0.9892,3.33,12.8,white,8
7.4,171,0.9917,3.12,11.3,white,6
6.5,133,0.9955,3.22,9.5,white,5
6.2,75,0.9892,3.33,12.8,white,8
6.4,102,0.9912,3.17,11,white,7
6.8,122,0.993,3.47,10.5,white,8
7.6,168,0.9937,3.05,9.3,white,5
6.6,142,0.9951,3.42,10,white,6
7,245,0.9955,3.25,10.4,white,6
6.9,146,0.993,3.45,10,white,6
7,141,0.9961,3.38,10.5,white,6
7.4,132,0.9914,3.19,11.6,white,6
7.2,114,0.9906,3.1,12.3,white,7
8.5,142,0.9974,3.2,10,white,6
8.3,47,0.9934,3.47,10.2,white,6
7.4,100,0.992,3.19,10.8,white,6
6.2,117,0.9939,3.42,9,white,6
5.8,179,0.9962,3.37,10.2,white,5
7.3,123,0.9905,3.19,12.8,white,5
6.5,149,0.9934,3.24,10,white,5
7,138,0.9906,3.13,11.2,white,6
7.3,149,0.9999,3.21,8.6,white,5
7.3,149,0.9999,3.21,8.6,white,5
6.7,158,0.9937,3.11,9.4,white,6
6.7,157,0.9937,3.1,9.4,white,6
7,160,0.9954,3.13,9.8,white,6
6.6,152,0.9934,3.22,9.5,white,6
6.7,154,0.9934,3.24,9.5,white,6
7.4,167,0.9931,3.16,10,white,7
6.2,206,0.994,3.27,9.8,white,4
6.2,207,0.9939,3.25,9.8,white,5
7,160,0.9954,3.13,9.8,white,6
6.9,150,0.995,3.36,9.8,white,5
7.2,173,0.9917,3.35,11.7,white,6
6.6,124,0.9914,3.34,11,white,7
6.2,82,0.991,3.32,10.9,white,7
6.4,108,0.9911,3.31,10.9,white,6
6.8,132,0.993,3.05,9.1,white,6
6.9,191,0.9908,3.13,11,white,6
7.2,213,0.9962,3.09,9.6,white,6
6,147,0.9972,3.3,8.9,white,6
6.6,78,0.9931,3.11,10.2,white,6
7.4,111,0.9926,3.36,9.9,white,6
6.8,123,0.9951,3.03,8.6,white,6
6,147,0.9972,3.3,8.9,white,6
7,151,0.991,3.02,10.5,white,5
6.6,78,0.9931,3.11,10.2,white,6
7.2,122,0.9927,3.15,10.3,white,6
6.2,120,0.9934,3.22,9.1,white,5
6.4,124,0.9903,3.22,12.6,white,7
6.7,174,0.992,3.14,9.8,white,5
6.7,96,0.9926,3.33,10.7,white,8
7.4,105,0.9962,3.13,9.5,white,5
6.2,244,0.9956,3.1,9,white,6
6.8,238.5,0.9958,3.32,9.5,white,5
6,201,0.9964,3.69,10,white,5
8.6,72,0.9941,2.95,9.1,white,6
6.7,96,0.9926,3.33,10.7,white,8
7.4,105,0.9962,3.13,9.5,white,5
7.1,87,0.9898,3.26,12.7,white,7
7,69,0.9912,3.31,12,white,7
7.4,103,0.9961,2.94,9.3,white,5
6.7,105,0.9949,3.27,9,white,5
6.8,114,0.9929,3.39,10.6,white,6
7.1,166,0.9985,3.21,9.2,white,6
7.1,164,0.9946,3.17,10,white,5
7.3,207,0.9966,3.33,9.5,white,6
7.1,155,0.9974,3.11,8.7,white,5
7.1,152,0.9975,3.12,8.7,white,6
7.2,156,0.9974,3.09,8.7,white,6
6.8,202,0.9972,3.22,9.7,white,6
7.1,155,0.9974,3.11,8.7,white,5
7.1,152,0.9975,3.12,8.7,white,6
7.2,156,0.9974,3.09,8.7,white,6
6.1,243,0.9957,3.12,9,white,5
6.9,136,0.99,3.26,12.6,white,7
6.9,136,0.9899,3.25,12.6,white,7
7.5,148,0.9916,3.21,11.5,white,7
7.1,240,0.9969,3.04,9.2,white,6
6,164,0.9979,3.14,8.8,white,6
8.6,80,0.9913,2.95,11.4,white,7
9.8,83,0.9956,2.89,10.1,white,4
6,164,0.9979,3.14,8.8,white,6
7.4,192,0.9975,3,9.1,white,5
7.1,162,0.9962,3.4,9.4,white,5
6,164,0.997,3.34,9.4,white,5
7.5,170,1,2.99,9,white,5
7.4,192,0.9975,3,9.1,white,5
7.3,109,0.9974,3.2,9.2,white,6
7.1,162,0.9962,3.4,9.4,white,5
7.1,171,0.999,3.16,9.1,white,6
7.1,171,0.999,3.16,9.1,white,6
6.9,187,0.9927,3.27,10.3,white,5
6.5,163,0.9959,2.89,8.8,white,6
7.2,255,1,3.04,8.9,white,5
7.2,195,0.9982,3.01,9.2,white,5
6.7,150,0.9968,3.22,9.1,white,5
6.7,150,0.9968,3.22,9.1,white,5
5.5,103,0.994,3.63,9.7,white,4
6,143,0.9914,3.31,11.3,white,6
7,85,0.9911,3.19,11.8,white,6
7.2,195,0.9982,3.01,9.2,white,5
7.3,196,0.9982,3.04,9.2,white,5
5.9,87,0.9934,3.22,10.2,white,5
7.8,138,0.9984,3.01,8.8,white,5
7.4,131,0.9952,3.29,9.7,white,5
6.9,146,0.9952,3.29,9.1,white,6
6.4,158,0.9928,3.21,9.8,white,6
6.7,143,0.9912,3.27,11,white,6
7.4,126,0.994,3.14,10.5,white,5
6.5,203,0.9958,3.45,9.7,white,7
6.1,179,0.9924,3.3,10.9,white,7
6.1,184,0.9924,3.31,10.9,white,6
5.7,57,0.994,3.39,10.6,white,5
6.5,203,0.9958,3.45,9.7,white,7
6.5,241,0.9979,3.23,9,white,5
6.6,188,0.9982,3.24,9.2,white,5
6.8,203,0.9961,3.19,8.9,white,5
6.7,179,0.9979,3.26,9.6,white,5
8.2,121,0.992,3.12,10.7,white,6
7.1,155,0.9975,3.16,8.7,white,5
6.8,96,0.9917,3.15,10.8,white,7
8.1,79,0.9923,3.23,11.8,white,6
6.3,77,0.9927,3.3,10.2,white,5
7.1,155,0.9975,3.16,8.7,white,5
7.9,107,0.992,3.21,10.8,white,6
8.5,99,0.9947,3.18,9.7,white,6
8.1,87,0.9921,3.12,11.2,white,6
6.3,114,0.9905,3,10.9,white,6
5.6,168,0.9918,3.28,10.1,white,6
6.4,97,0.9951,3.38,9,white,4
6.3,80,0.9917,3.38,12,white,7
6.9,116,0.994,2.99,9.4,white,6
7.9,152,0.9934,3.12,11.5,white,7
7.6,135,0.9968,3.14,9.9,white,6
6.9,116,0.994,2.99,9.4,white,6
7.2,97,0.9919,3.14,10.4,white,5
8.2,76,0.9966,3.06,9.7,white,6
7.4,198,0.9979,2.89,8.9,white,6
7.4,198,0.9979,2.89,8.9,white,6
6.1,124,0.9898,3.29,12.4,white,7
5.2,119,0.9894,3.36,12.1,white,8
5.2,119,0.9894,3.36,12.1,white,8
6.1,124,0.9898,3.29,12.4,white,7
6.4,159,0.998,2.98,9.1,white,5
6.3,85,0.9932,3.28,10.6,white,5
7.4,198,0.9979,2.89,8.9,white,6
6.7,205,0.997,3.15,9.5,white,5
7,177,0.9972,3.16,9.8,white,5
8.4,197,0.9974,3.14,9.6,white,6
6.7,98,0.9896,3.08,12.6,white,7
7.5,151,0.9968,3.08,9.3,white,5
9.8,110,0.9958,2.87,10,white,5
7.1,133,0.9906,3.12,12.7,white,6
7.9,96,0.9917,3.13,11,white,6
7.6,100,0.9902,3.03,11.4,white,4
6.3,130,0.9918,3.35,11.5,white,7
7.5,173,0.999,3.09,10.2,white,5
6.9,151,0.9927,3.11,11.4,white,6
7.2,65,0.991,3.03,12.6,white,4
5.9,170,0.9972,3.28,9.4,white,5
6,108,0.9931,3.11,8.7,white,4
6.4,176,0.995,3.19,9.2,white,6
6.4,173,0.9951,3.19,9.3,white,6
7.1,183,0.9936,3.09,9.2,white,5
6.8,167,1.001,2.93,8.7,white,5
6.9,227,0.9979,3.18,9.6,white,6
6.8,226,0.997,3.02,9.3,white,5
6.8,230,0.9972,3.02,9.3,white,5
6.7,166,0.9954,3.12,9.9,white,6
5.9,119,0.9924,3.15,11,white,5
6.8,109,0.9906,3.26,12.7,white,8
6.5,210,0.9962,3.09,8.9,white,4
6.6,211,0.9962,3.09,8.9,white,6
6.8,167,1.001,2.93,8.7,white,5
6.8,123,0.9928,3.02,11.4,white,6
6.6,125,0.9942,3.36,9.6,white,5
6.4,181,0.9942,3.02,9.1,white,5
6.4,180,0.9942,3.02,9.1,white,6
6.4,183,0.9942,3.01,9.1,white,5
6.8,214,0.9961,3.13,8.9,white,5
7.1,204,0.998,3.1,8.8,white,5
6.8,214,0.9961,3.13,8.9,white,5
6.8,196,0.9984,3.15,9.3,white,5
7.1,204,0.998,3.1,8.8,white,5
6.9,236,0.9973,3.2,9.6,white,5
6.8,134,0.9949,3.33,12,white,6
5.8,114,0.9924,3.28,10.2,white,4
6.4,153,0.9972,3.15,8.8,white,5
7,126,0.9958,3.21,9.2,white,5
10.2,124,0.9968,2.99,9.9,white,4
6.8,77,0.9938,3.32,10.2,white,5
6.1,170,0.993,3.22,9.5,white,6
5.6,68,0.994,3.31,10.5,white,5
6.8,111,0.9918,3.32,11.2,white,7
7,126,0.9958,3.21,9.2,white,5
6.7,122,0.9944,3.44,9.7,white,6
6.2,105,0.9912,3.3,11.1,white,7
5.8,152,0.9961,3.31,9.4,white,5
7.5,164,0.9939,3.03,11,white,5
5.8,152,0.9961,3.31,9.4,white,5
5.7,167,0.9989,3.31,9.4,white,5
7.5,161,0.9938,3.04,11,white,5
7.5,164,0.9939,3.03,11,white,5
7.2,172,0.9971,3,9.1,white,6
6.2,105,0.9912,3.3,11.1,white,7
6.5,144,0.9936,3.42,9.1,white,6
6.3,140,0.9929,3.39,10.4,white,6
7.1,145,0.9998,3.32,8.7,white,5
6.4,200,0.9938,3.5,9.7,white,6
7.1,272,0.9969,3.17,9.1,white,6
6.4,200,0.9938,3.5,9.7,white,6
7.1,145,0.9998,3.32,8.7,white,5
6.8,142,0.9972,3.37,8.9,white,4
8.3,194,0.9976,3.34,9.6,white,6
8.2,208,0.9976,3.31,9.5,white,6
7.2,194,0.9979,3.09,9,white,6
7.2,194,0.9979,3.09,9,white,6
7.2,194,0.9979,3.09,9,white,6
7.2,194,0.9979,3.09,9,white,6
6.8,221,0.9972,3.27,9.6,white,6
7,120,0.9918,3.34,11.1,white,7
6.2,159,0.9982,3.48,9.6,white,6
7.3,197,0.9985,3.2,8.7,white,5
7.7,90,0.9944,3.13,10.4,white,5
7.1,100,0.9903,3.15,11.4,white,7
6.8,218.5,0.9934,3.3,9.7,white,6
6.9,142,0.9975,3.14,8.7,white,5
6.1,249.5,0.9923,3.37,11.3,white,6
6.8,139,0.99,3.16,12.6,white,7
5.8,77,0.9905,3.25,10.9,white,7
5.6,76,0.9905,3.25,10.9,white,7
6.1,119,0.996,3.38,10,white,5
5.9,199,0.9964,3.72,10,white,4
8.5,197,0.998,3.02,9.8,white,3
6.9,142,0.9975,3.14,8.7,white,5
5.8,109,0.9913,3.53,11.7,white,3
5.8,158,0.9932,3.21,9.3,white,6
6.7,147,0.9935,3.32,9.6,white,8
6.3,97,0.9927,3.27,11,white,7
6.3,97,0.9927,3.27,11,white,7
6.4,118,0.9912,3.32,11.8,white,6
5.8,75,0.9904,3.28,11.4,white,4
6.9,108,0.9939,3.32,10.2,white,6
6.9,156,0.9996,2.93,8.9,white,5
6.9,95,0.9944,3.17,10.2,white,5
7.2,231,0.9977,3.08,9.6,white,6
6.2,167,0.9912,3.1,10.6,white,6
6.9,156,0.9996,2.93,8.9,white,5
6.9,180,0.9965,3.25,9.2,white,6
5.3,149,0.9944,3.34,9.7,white,5
5.3,145,0.9945,3.34,9.7,white,6
5.4,147,0.9944,3.34,9.7,white,6
6.9,180,0.9965,3.25,9.2,white,6
5.2,147,0.9944,3.33,9.7,white,5
5.8,148,0.9972,3.29,9.3,white,5
6.6,123,0.9949,3.24,9,white,5
7,234,0.9966,3.05,9.5,white,5
6.6,169,0.9954,3.14,9.8,white,6
6.7,166,0.9954,3.14,9.8,white,6
7.7,60,0.9915,2.89,10.6,white,5
6.8,67,0.9919,3.05,10.6,white,4
7,105,0.9916,3.26,12.4,white,7
7,112,0.99,3.19,12.6,white,8
6.1,114,0.9909,3.3,12.3,white,8
6.8,201,0.9938,3.08,10.5,white,4
6.7,196,0.9982,3.19,9.3,white,5
7.1,198,0.9988,3.12,8.8,white,5
7.3,180,0.9961,3.08,8.8,white,5
6.5,190,0.9978,3.22,9.7,white,6
7.2,192,0.9979,2.98,9,white,7
7.2,192,0.9979,2.98,9,white,7
7.2,192,0.9979,2.98,9,white,7
7.2,192,0.9979,2.98,9,white,7
5.9,155,0.9945,3.52,10.5,white,6
7.4,195,1,2.96,9.1,white,5
6.2,157,0.9957,3.44,9.8,white,7
9.1,182,0.9968,3.23,8.5,white,3
6.3,175,0.9934,3.37,9.4,white,6
8.3,169,0.9976,3.09,9.4,white,5
7.2,187,0.9932,3.19,11.2,white,7
7.5,146,0.997,3.17,10,white,6
6.7,122,0.9923,3.15,10.3,white,6
6.1,87,0.9914,3.27,10.8,white,6
8.3,74,0.992,3.13,10.5,white,6
6.1,87,0.9914,3.27,10.8,white,6
6,168,0.9914,3.32,11.1,white,6
7.3,163,0.9949,3.2,9.9,white,6
7.3,163,0.9949,3.2,9.9,white,6
7.2,163,0.995,3.2,9.9,white,5
7.3,166,0.995,3.2,9.9,white,6
6.2,134,0.9927,3.2,10.4,white,7
6.2,148,0.9928,3.21,10.4,white,6
6.1,100,0.9917,3.4,11.5,white,7
5,164,0.9918,3.53,12.5,white,8
7.8,149,0.9954,3.36,10,white,6
5.7,166,0.9941,3.29,10,white,6
5.8,167,0.9941,3.29,10,white,5
6.8,127,0.9934,3.09,9.1,white,6
6.8,134,0.9927,3.21,10.6,white,6
6.6,135,0.9938,3.19,10.5,white,5
5.9,133,0.9933,3.52,11.5,white,7
6.1,69,0.9934,3.54,10.1,white,6
6,65,0.9927,3.61,10.3,white,7
6.6,135,0.9938,3.19,10.5,white,5
6.8,134,0.9927,3.21,10.6,white,6
6.8,137,0.9946,3.16,10.4,white,6
8.3,207,0.993,3.02,11.4,white,5
7.5,313,0.9946,3.18,10.5,white,5
7.9,216,0.9976,2.96,10,white,6
6.4,143,0.9944,3.19,10,white,6
6.5,195,0.9978,3.23,9.6,white,6
7.2,85,0.992,3.17,10.4,white,5
6.4,101,0.9912,3.36,12.5,white,8
6.8,135,0.9927,3.2,10.6,white,5
6.3,91,0.9906,3.28,11.8,white,6
6.5,133,0.9954,3.11,9.8,white,5
5.6,80,0.9923,3.25,10.8,white,5
6.3,91,0.9906,3.28,11.8,white,6
6.3,105,0.991,3.32,11.2,white,6
5.8,170,0.9972,3.28,9.3,white,6
5.9,139,0.9945,3.45,10.4,white,5
6.6,141,0.9934,3.43,10.2,white,7
7.4,153,0.9964,3.19,9,white,7
8,129,0.9948,3.2,10,white,6
6.4,140,0.9962,3.18,9.1,white,6
5.4,144,0.9931,3.29,10,white,5
5.4,145,0.993,3.29,10,white,6
7.1,131,0.9942,3.28,9.6,white,6
5.6,68,0.9906,3.36,11.2,white,7
6.7,155,0.9995,3.2,8.8,white,6
7.8,118,0.998,3.15,10,white,6
7.6,137,0.997,3.15,10,white,5
6.3,146,0.9914,3.27,11.4,white,7
7.3,138,0.992,3.03,11.9,white,7
5.5,128,0.9924,3.14,9.6,white,6
7.3,138,0.992,3.03,11.9,white,7
5.8,245,0.9937,3.25,9.6,white,6
7.3,191,0.9978,2.89,9,white,6
7.3,191,0.9978,2.89,9,white,6
6.1,169,0.9927,3.15,9.5,white,6
10,152,0.994,3,10.4,white,6
6.9,161,0.9935,3.2,10.6,white,6
6.4,162,0.9968,3.28,10.2,white,6
7.1,84,0.9941,3.15,8.9,white,5
6.8,127,0.9942,3.4,9.7,white,6
7.3,191,0.9978,2.89,9,white,6
6.8,102,0.9923,3.49,11.4,white,7
6,113,0.9912,3.4,12.3,white,7
6,143,0.9923,3.49,10.8,white,6
6.9,148,0.9927,3.12,9.4,white,6
7.7,178,0.9931,3.17,10.6,white,6
7.1,72,0.9941,3.17,11.6,white,5
6.9,148,0.9927,3.12,9.4,white,6
7.7,178,0.9931,3.17,10.6,white,6
6.6,204,0.9934,3.34,10,white,5
7.2,149,0.9936,3.1,9.2,white,6
5.1,89,0.9893,3.51,12.5,white,7
5.1,89,0.9893,3.51,12.5,white,7
6.4,119,0.9919,3.32,10.4,white,7
7.3,98,0.9924,3.15,10,white,7
5.7,155,0.9927,3.22,10,white,6
6.4,119,0.9919,3.32,10.4,white,7
7.3,98,0.9924,3.15,10,white,7
7.2,179,0.9975,3.1,9,white,6
7.5,157,0.9969,3.12,9.2,white,6
7.2,149,0.9936,3.1,9.2,white,6
6,125,0.991,3.38,11.3,white,7
5.1,89,0.9893,3.51,12.5,white,7
5,115,0.9906,3.48,10.8,white,7
6.3,260,0.9941,3.12,10.1,white,5
6.7,140,0.995,3.39,9.7,white,6
7,181,0.9983,3.18,9.3,white,7
7,181,0.9983,3.18,9.3,white,7
6.5,66,0.9916,3.1,10.6,white,5
6.1,125,0.9957,3.36,10.2,white,6
7.3,69,0.99,3.08,12.2,white,6
6.8,163,0.9976,3.19,8.8,white,5
6.8,168,0.992,3.18,10,white,5
8.2,93,0.9917,3.09,11.4,white,5
6.3,107,0.9917,3.46,11.4,white,6
5.9,168,0.9993,3.35,9.4,white,5
6.4,83,0.9908,3.3,11.7,white,6
6.3,107,0.9917,3.46,11.4,white,6
6.8,163,0.9976,3.19,8.8,white,5
6.1,108,0.9934,3.23,9.2,white,5
7.1,252,1,3.07,8.7,white,5
6.8,170,0.9918,3.24,12.6,white,6
6.8,168,0.992,3.18,10,white,5
5.8,99,0.9896,3.39,12.8,white,7
6.9,125,0.9932,3.17,9.4,white,5
6.3,116,0.992,3.26,10.3,white,6
8.2,93,0.9917,3.09,11.4,white,5
7.2,155,0.9999,2.97,9,white,6
7.3,140,0.998,3.3,9.6,white,6
7.2,85,0.9918,3.16,10.5,white,5
7.2,85,0.9918,3.16,10.5,white,5
7.2,155,0.9999,2.97,9,white,6
7.3,140,0.998,3.3,9.6,white,6
7.4,99,0.9927,3.19,9.8,white,6
6.8,210,0.9959,3.1,9,white,5
7.4,99,0.9927,3.19,9.8,white,6
7.4,137,0.9929,3.31,10.5,white,6
7,136,0.9898,3.16,12.7,white,7
7,222,0.9954,3.25,10.4,white,6
7,221,0.9954,3.25,10.4,white,6
7,221,0.9954,3.25,10.4,white,6
6.9,162,0.9954,3.34,10.5,white,7
7,222,0.9954,3.25,10.4,white,6
7,221,0.9954,3.25,10.4,white,6
6.8,194,0.9974,3.09,9.4,white,5
7.8,89,0.9936,3.06,9.1,white,5
7.1,197,0.9978,3.1,9.3,white,5
6.8,194,0.9974,3.09,9.4,white,5
6.4,84,0.9927,3.21,9.8,white,5
7.4,214,0.9934,3.18,9.9,white,7
7.2,151,0.9938,3.07,9.2,white,4
7,104,0.9922,3.35,12.1,white,8
6.9,97,0.992,3.38,12.2,white,7
6.1,218.5,0.9935,3.27,9.8,white,5
6.6,186,0.9906,3.35,12.4,white,8
7.4,214,0.9934,3.18,9.9,white,7
6.2,108,0.9934,3.26,9.2,white,5
6.7,102,0.9913,3.29,11.6,white,7
6.1,137,0.9938,3.3,10.4,white,6
6,126,0.9898,3.43,12.9,white,8
6.6,245,0.9975,3.26,9.3,white,6
6.9,139,0.9975,3.2,11,white,6
7.1,66,0.9937,3.24,11.5,white,3
5.8,156,0.9914,3.53,12.4,white,5
6.5,113,0.9982,3.44,9.8,white,6
6.5,113,0.9982,3.44,9.8,white,6
6.4,127,0.9929,3.48,10.5,white,7
7.2,174,0.9971,3.03,9.1,white,5
6.1,128,0.9921,3.24,10.1,white,5
5.9,160,0.9931,3.46,10.6,white,7
6,113,0.9924,3.41,10.5,white,7
6.4,127,0.9929,3.48,10.5,white,7
6.4,113,0.9982,3.44,9.8,white,6
6.3,82,0.9892,3.3,12.9,white,7
7.1,111,0.9956,2.95,9.5,white,5
6,218.5,0.9924,3.29,9.8,white,6
6.1,249,0.9971,3.37,8.5,white,5
7.1,111,0.9956,2.95,9.5,white,5
7,171,0.9982,3.22,9.3,white,5
5.9,162,0.9973,3.35,9.5,white,5
6.8,68,0.9932,3.17,9.4,white,6
7.2,178,0.9976,3.16,8.7,white,5
6.3,126,0.9962,2.95,8.9,white,5
7,141,0.9956,3.22,9.4,white,6
6.8,68,0.9932,3.17,9.4,white,6
7.2,178,0.9976,3.16,8.7,white,5
7.2,182,0.9992,3.09,9.6,white,5
8.6,158,0.9983,3,9.3,white,6
6.5,200,0.9937,3.14,10,white,5
6.6,86,0.99,3.25,12.5,white,6
7,132,0.9944,3.36,9.6,white,7
5.5,102,0.9938,3.24,9.4,white,6
7,227,0.9965,3.03,9.5,white,5
7.4,105,0.9893,2.99,12.4,white,7
7,115,0.9927,3.11,10.5,white,6
7.1,165,0.994,2.97,9.2,white,6
6.3,164,0.9928,3.32,10.4,white,6
6.7,172,0.9964,3.22,9.2,white,5
5.9,104,0.9917,3.33,10.6,white,6
5.8,137,0.9972,3.34,9.5,white,5
6.7,172,0.9964,3.22,9.2,white,5
6.2,200,0.9954,3.29,9.6,white,5
6.2,117,0.993,3.47,9.7,white,6
6,117,0.9928,3.46,9.7,white,6
6.6,90,0.9916,3.1,10.7,white,6
7.4,180,0.9936,3.34,10.5,white,6
7.4,177,0.9962,3.13,8.9,white,6
7,70,0.9899,3.09,12.1,white,6
7.1,65,0.9898,3.25,12.7,white,7
7.8,182,0.996,3.18,9.9,white,6
6.3,158,0.9907,3.2,11.4,white,6
6.8,103,0.994,3.37,10.7,white,6
5.7,173,0.9913,3.33,12.5,white,6
7.2,189,0.9976,3.08,8.6,white,4
6.8,147,0.9904,3.29,12.5,white,6
5.7,174,0.992,3.27,10,white,5
7.2,189,0.9976,3.08,8.6,white,4
7.2,200,0.999,3.08,9.5,white,6
6.8,164,0.9975,3.12,9.6,white,6
6.4,210,0.9937,3.2,9.9,white,6
6.5,210,0.9937,3.19,9.9,white,5
7.8,140,0.998,3.06,8.9,white,6
7.8,140,0.998,3.06,8.9,white,6
7.3,135,0.9944,3.01,8.8,white,5
6,170,0.9938,3.64,10,white,7
5.9,152,0.9907,3.44,12,white,6
6,170,0.9938,3.64,10,white,7
6.7,138,0.9921,3.21,10,white,6
7.8,167,0.9908,3.11,12.1,white,6
7.3,141,0.9931,3.16,11,white,6
7.4,55,0.9915,3.21,11.2,white,6
7.8,115,0.9952,3.17,10.3,white,7
6.1,167,0.9926,3.37,10.4,white,6
6.8,154,0.9934,3.08,9.1,white,5
7.4,154,0.992,3,10.4,white,6
5.9,78,0.9918,3.43,10.8,white,6
7.2,41,0.9942,3.19,11.7,white,5
7.9,143,0.9942,3.05,9.8,white,5
7.9,143,0.9942,3.05,9.8,white,5
6.9,101,0.9901,3.03,11.4,white,6
5.8,96,0.9898,3.03,11.2,white,6
5.6,72,0.9902,3.37,11.4,white,5
5.9,140,0.9934,3.09,9.2,white,6
7.2,29,0.9906,3.04,12.5,white,4
6.1,116,0.9898,3.36,12.6,white,6
5.2,104,0.9896,3.44,12.2,white,6
5.6,112,0.9922,3.56,11.2,white,6
6.4,103,0.9947,3.43,9.7,white,6
6.4,150,0.9945,3.06,9.3,white,5
7.4,178,0.9976,3.01,9,white,6
7.4,178,0.9976,3.01,9,white,6
7.4,178,0.9976,3.01,9,white,6
7.9,171,0.9987,3.09,9.1,white,5
7.9,171,0.9987,3.09,9.1,white,5
7.4,178,0.9976,3.01,9,white,6
6.1,61,0.992,3.31,10.4,white,5
6.8,211,0.9955,3.37,9.5,white,6
6.7,175,0.9953,3.46,11.4,white,4
7.2,192,0.9976,3.16,8.7,white,5
5.5,167,0.992,3.34,9.9,white,6
6.7,148,0.9952,3.22,9.9,white,6
6.8,162,0.9983,3.21,9,white,6
6.4,149,0.9933,3.49,10,white,6
6.3,172,0.9958,3.49,9.7,white,6
7.7,87,0.9922,3.3,11.8,white,6
6.5,127,0.9928,3.49,10.2,white,7
7.2,192,0.9976,3.16,8.7,white,5
7,168,0.9976,3.07,9.6,white,7
9.2,93,0.9916,2.93,11.3,white,7
7.8,118,0.9901,3,12.1,white,7
7,168,0.9976,3.07,9.6,white,7
7.8,118,0.9901,3,12.1,white,7
9.2,93,0.9916,2.93,11.3,white,7
8.4,160,0.9982,2.98,9.4,white,5
6.1,137,0.993,3.32,10.4,white,6
5.9,165,0.9969,3.25,9.5,white,5
7.2,144,0.991,3.01,12.3,white,6
6.7,150,0.9953,3.12,9.9,white,7
5.9,128,0.9924,3.24,10.1,white,5
7.7,184,0.9969,3.09,9.2,white,6
7.4,135,0.9928,3.08,10.4,white,7
6.8,165,0.9945,3.2,9.1,white,5
7.8,99,0.9967,3.12,10,white,6
7.2,37,0.9944,3.13,11.5,white,6
6,153,0.9928,3.08,9.8,white,5
6.1,154,0.9929,3.08,9.8,white,6
6.5,179,0.9948,3.19,9.4,white,6
7.4,194,0.9976,3.05,8.7,white,5
6.5,107,0.9912,3.32,11.6,white,7
6.7,181,0.9987,3.04,8.8,white,5
7.2,151,0.99,3.16,12.7,white,7
7.4,138,0.991,3.17,11.7,white,7
8.2,185,0.9933,3.13,10.2,white,6
8.2,187,0.9933,3.13,10.2,white,6
7.1,153,0.9899,3.15,12.7,white,7
6.5,107,0.9912,3.32,11.6,white,7
6,134,0.9912,3.38,12.3,white,7
7.4,194,0.9976,3.05,8.7,white,5
5.7,111,0.994,3.35,9.4,white,5
7.3,168,0.9947,3.13,10.1,white,6
7.4,81,0.9954,2.86,9.7,white,6
6.6,134,0.993,3.42,10.1,white,7
7.4,81,0.9954,2.86,9.7,white,6
7.4,157,0.9963,3.13,8.9,white,6
6.1,136,0.992,3.47,10.8,white,7
6.9,121,0.9926,3.42,10.8,white,7
7,136,0.995,3.19,9.5,white,6
7.1,148,0.9983,2.94,9.1,white,5
7.3,119,0.992,3.32,10.9,white,6
6.9,152,0.9968,3.2,9.4,white,5
6.4,131,0.9905,2.97,10.8,white,5
6.4,131,0.9904,2.97,10.8,white,5
6.3,140,0.9926,3.45,10.5,white,7
6.9,152,0.9968,3.2,9.4,white,5
7,127,0.9928,3.17,10.8,white,6
5.9,115,0.9949,3.35,10.5,white,8
6.9,55,0.9909,3.08,11.5,white,7
6.7,160,0.9937,3.11,9.4,white,6
7.2,106,0.9914,2.88,10.8,white,6
6.4,131,0.9905,2.97,10.8,white,5
6.4,131,0.9904,2.97,10.8,white,5
6.3,134,0.9924,2.99,9.8,white,6
6.3,134,0.9924,2.99,9.8,white,6
